scenario,final_lose_state
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 0, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 1, 2)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 0, 2, 1)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 1, 2, 0)","[['X' 'O' 'X']
 ['O' 'O' 'O']
 ['X' 'X' '.']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 0, 0)","[['X' 'X' 'O']
 ['X' 'O' '.']
 ['O' 'X' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 0)","[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' 'O']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' 'O']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
"(0, 2, 1, 1)","[['X' 'X' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'O']]"
"(0, 2, 1, 1)","[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' 'O' '.']]"
